location;population;HighestInfectionCount;PercentPopulationInfected
Andorra;77265;13232;17,12547725
Montenegro;628062;97389;15,50627167
Czechia;10708982;1630758;15,22794604
San Marino;33938;5066;14,92722023
Slovenia;2078932;240292;11,55843481
Luxembourg;625976;67205;10,73603461
Bahrain;1701583;176934;10,39819979
Serbia;6804596;689557;10,13369493
United States;331002647;32346971;9,772420642
Israel;8655541;838481;9,687216547
